root_cause_service,fault_type,fault_date,num_nodes,num_edges,num_anomalous_edges,weight_edges,weight_anomalous_edges,num_traces,num_anomalous_traces,num_unique_traces,num_unique_anomalous_traces,localizedat
price,cpu,1016,32,82,5,3702,63,962,34,20,6,1
price,delay,1014,31,70,13,1386,52,754,17,27,13,1
price,delay,1025,31,67,12,1469,72,525,14,20,7,1
route,abort,1024,11,12,6,273,48,165,26,11,9,1
route,cpu,1014,31,64,18,1721,231,856,56,27,14,1
route,cpu,1016,31,70,17,2943,420,800,57,22,9,1
route,delay,1014,18,31,15,653,119,287,13,9,6,1
route-plan,abort,1011,32,61,3,2115,73,921,37,16,2,1
route-plan,abort,1015,30,54,2,2445,68,1476,42,20,1,1
seat,abort,1011,15,17,5,1590,73,607,30,6,3,1
seat,abort,1015,15,17,5,1738,115,541,42,5,2,1
seat,abort,1024,15,17,6,525,61,238,39,9,7,2
seat,cpu,1014,31,67,14,1722,103,682,52,39,27,1
seat,cpu,1016,32,81,12,2777,69,909,21,22,8,1
seat,delay,1010,33,71,7,2513,66,799,26,25,5,1
seat,delay,1014,28,54,5,1092,25,621,14,21,9,1
seat,delay,1025,24,32,3,616,11,410,11,16,4,-1
security,abort,1023,26,47,4,1544,56,680,40,22,2,2
security,cpu,1012,32,79,3,3025,5,1210,4,68,4,-1
security,cpu,1016,34,76,1,2594,5,1303,5,46,5,1
security,delay,1010,32,80,4,3038,27,1169,21,39,12,2
security,delay,1014,35,89,9,2833,32,1269,23,45,16,2
security,delay,1025,30,70,5,4497,77,2596,61,45,23,2
station,abort,1011,10,11,7,332,118,218,28,5,2,1
station,abort,1015,10,11,7,383,162,224,34,5,2,1
station,abort,1023,10,11,7,643,173,466,54,8,5,3
station,cpu,1012,24,38,17,695,165,431,33,16,10,1
station,cpu,1016,27,51,15,938,246,532,82,17,8,1
station,delay,1025,15,19,5,1056,436,422,20,10,7,1
ticketinfo,abort,1011,12,13,6,479,118,346,56,7,3,1
ticketinfo,abort,1024,8,9,6,445,136,378,74,5,3,1
ticketinfo,cpu,1014,30,58,10,1586,96,753,29,30,19,1
ticketinfo,cpu,1016,29,52,6,1456,84,765,13,18,4,1
ticketinfo,delay,1010,15,19,4,860,96,403,19,6,3,1
