,source,destination
0,queue-master,rabbitmq
1,shipping,rabbitmq
2,front-end,session-db
3,carts,carts-db
4,catalogue,catalogue-db
5,orders,orders-db
6,user,user-db
7,front-end,orders
8,orders,payment
9,orders,shipping
10,front-end,user
11,orders,user
12,front-end,carts
13,orders,carts
14,front-end,catalogue
15,carts-db,home-cluster-node1
16,queue-master,home-cluster-node3
17,session-db,home-cluster-node2
18,user,home-cluster-node1
19,user-db,home-cluster-node2
20,carts,home-cluster-node2
21,catalogue,home-cluster-node3
22,front-end,home-cluster-node3
23,payment,home-cluster-node2
24,shipping,home-cluster-node3
25,orders,home-cluster-node2
26,orders-db,home-cluster-node1
27,rabbitmq,home-cluster-node1
28,catalogue-db,home-cluster-node1
