,source,destination
0,fanout-2,fanout-2-db
1,fanout-3,fanout-3-db
2,fanout-4,fanout-4-db
3,carts,carts-db
4,catalogue,catalogue-db
5,fanout-1,fanout-1-db
6,fanout-5,fanout-5-db
7,orders,orders-db
8,user,user-db
9,shipping,rabbitmq
10,queue-master,rabbitmq
11,front-end,session-db
12,front-end,user
13,orders,user
14,front-end,carts
15,orders,carts
16,front-end,catalogue
17,front-end,orders
18,orders,payment
19,orders,shipping
20,catalogue,home-cluster-node3
21,catalogue-db,home-cluster-node1
22,rabbitmq,home-cluster-node1
23,carts,home-cluster-node2
24,orders,home-cluster-node2
25,orders-db,home-cluster-node1
26,user,home-cluster-node1
27,front-end,home-cluster-node3
28,payment,home-cluster-node2
29,session-db,home-cluster-node2
30,user-db,home-cluster-node2
31,carts-db,home-cluster-node1
32,queue-master,home-cluster-node3
33,shipping,home-cluster-node3
