chain-1-db

chain-10-db

chain-10,"('chain-10', 0.26512222128370655)","('chain-7', 0.22762866812433497)","('chain-8', 0.22352545508256286)","('chain-9', 0.21833904012478025)","('chain-6', 0.06538461538461539)","('chain-7-db', 0.0)","('chain-9-db', 0.0)","('chain-8-db', 0.0)","('chain-10-db', 0.0)","('chain-11', 0.0)"

chain-11-db

chain-11,"('chain-10', 0.21638081361071887)","('chain-7', 0.19827354619985194)","('chain-11', 0.1864632843729491)","('chain-9', 0.17723683225690506)","('chain-8', 0.16497885689290825)","('chain-6', 0.056666666666666664)","('chain-8-db', 0.0)","('chain-10-db', 0.0)","('chain-11-db', 0.0)","('chain-12', 0.0)","('chain-7-db', 0.0)","('chain-9-db', 0.0)"

chain-12-db,"('chain-12', 0.64971003546875)","('chain-11', 0.35028996453125)","('chain-12-db', 0.0)","('chain-13', 0.0)"

chain-12,"('chain-8', 0.08915966159050231)","('chain-3', 0.08853943939056698)","('chain-5', 0.08446858806220058)","('chain-10', 0.08420651942929157)","('chain-7', 0.08353021453067744)","('chain-6', 0.08254640672639567)","('chain-2', 0.08082081209882862)","('chain-11', 0.08017590241059064)","('chain-9', 0.07775725778831333)","('chain-4', 0.0745296835761452)","('chain-1', 0.07360557299408516)","('chain-12', 0.0713495965748163)","('gateway', 0.029310344827586206)","('chain-12-db', 0.0)","('chain-13', 0.0)","('chain-9-db', 0.0)","('chain-10-db', 0.0)","('chain-2-db', 0.0)","('chain-11-db', 0.0)","('chain-8-db', 0.0)","('chain-7-db', 0.0)","('chain-3-db', 0.0)","('chain-5-db', 0.0)","('chain-1-db', 0.0)","('chain-6-db', 0.0)","('chain-4-db', 0.0)"

chain-13-db,"('chain-12', 0.64971003546875)","('chain-11', 0.35028996453125)","('chain-12-db', 0.0)","('chain-13', 0.0)"

chain-13,"('chain-10', 0.14739258868869232)","('chain-12', 0.14536557650799178)","('chain-11', 0.14468468028927667)","('chain-13', 0.13689030065355695)","('chain-8', 0.12984008143995146)","('chain-9', 0.12846233371200214)","('chain-7', 0.12262759660326553)","('chain-6', 0.04473684210526315)","('chain-8-db', 0.0)","('chain-13-db', 0.0)","('chain-14', 0.0)","('chain-10-db', 0.0)","('chain-12-db', 0.0)","('chain-7-db', 0.0)","('chain-11-db', 0.0)","('chain-9-db', 0.0)"

chain-14-db,"('chain-14', 0.64971003546875)","('chain-13', 0.35028996453125)","('chain-14-db', 0.0)","('chain-15', 0.0)"

chain-14,"('chain-12', 0.12345315565110247)","('chain-8', 0.12175564451420913)","('chain-13', 0.11980900878768443)","('chain-10', 0.11954948751920921)","('chain-11', 0.11196452363984344)","('chain-7', 0.1116956447917649)","('chain-14', 0.10091652731641149)","('chain-9', 0.10043838156707326)","('chain-15', 0.051781262576338104)","('chain-6', 0.038636363636363635)","('chain-7-db', 0.0)","('chain-13-db', 0.0)","('chain-9-db', 0.0)","('chain-14-db', 0.0)","('chain-12-db', 0.0)","('chain-15-db', 0.0)","('chain-10-db', 0.0)","('chain-8-db', 0.0)","('chain-11-db', 0.0)"

chain-15-db,"('chain-11', 0.27821642624108356)","('chain-13', 0.2691032609941396)","('chain-14', 0.21643068701232382)","('chain-12', 0.1799365665832735)","('chain-15', 0.056313059169179405)","('chain-14-db', 0.0)","('chain-15-db', 0.0)","('chain-12-db', 0.0)"

chain-15,"('chain-14', 0.2515733905709362)","('chain-12', 0.18850091708452643)","('chain-13', 0.18167349618184522)","('chain-8', 0.17472738849639755)","('chain-15', 0.0972748076662946)","('chain-7', 0.053125)","('chain-11', 0.053125)","('chain-13-db', 0.0)","('chain-15-db', 0.0)","('chain-8-db', 0.0)","('chain-9', 0.0)","('chain-12-db', 0.0)","('chain-14-db', 0.0)"

chain-1

chain-2-db

chain-2

chain-3-db

chain-3

chain-4-db

chain-4

chain-5-db

chain-5

chain-6-db

chain-6,"('chain-5', 0.23079780770632355)","('chain-2', 0.1984115873942836)","('chain-1', 0.19158486430806565)","('chain-3', 0.17101113422294986)","('chain-4', 0.1515279397017106)","('gateway', 0.056666666666666664)","('chain-5-db', 0.0)","('chain-6', 0.0)","('chain-1-db', 0.0)","('chain-2-db', 0.0)","('chain-4-db', 0.0)","('chain-3-db', 0.0)"

chain-7-db

chain-7

chain-8-db,"('chain-7', 0.500860907131352)","('chain-6', 0.388177809313227)","('chain-8', 0.11096128355542106)","('chain-7-db', 0.0)","('chain-8-db', 0.0)","('chain-9', 0.0)"

chain-8,"('chain-8', 0.64971003546875)","('chain-7', 0.35028996453125)","('chain-8-db', 0.0)","('chain-9', 0.0)"

chain-9-db,"('chain-9', 0.64971003546875)","('chain-8', 0.35028996453125)","('chain-9-db', 0.0)","('chain-10', 0.0)"

chain-9,"('chain-7', 0.3431094689696456)","('chain-8', 0.32493394558026045)","('chain-6', 0.2817207321100673)","('chain-9', 0.05023585334002671)","('chain-7-db', 0.0)","('chain-8-db', 0.0)","('chain-9-db', 0.0)","('chain-10', 0.0)"

gateway

