fanout-10,"('gateway', 0.5386290038964844)","('fanout-10', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-1,"('gateway', 0.5386290038964844)","('fanout-1', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-2,"('gateway', 0.5386290038964844)","('fanout-2', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-3,"('gateway', 0.5386290038964844)","('fanout-3', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-4,"('gateway', 0.5386290038964844)","('fanout-4', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-5,"('gateway', 0.5386290038964844)","('fanout-5', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-6,"('gateway', 0.5386290038964844)","('fanout-6', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-7,"('gateway', 0.5386290038964844)","('fanout-7', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-8,"('gateway', 0.5386290038964844)","('fanout-8', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-9,"('gateway', 0.5386290038964844)","('fanout-9', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-db,"('gateway', 0.5666666666666667)","('fanout-4', 0.056616805123849576)","('fanout-7', 0.05577443173939413)","('fanout-2', 0.04893406095416616)","('fanout-3', 0.04466657649629299)","('fanout-5', 0.04161321632619576)","('fanout-6', 0.04096151454294243)","('fanout-1', 0.039951226711141846)","('fanout-10', 0.039093220384824746)","('fanout-9', 0.035302828280319505)","('fanout-8', 0.030419452774206216)","('fanout-db', 0.0)"

gateway,"('gateway', 0.5666666666666667)","('fanout-4', 0.061290799216380115)","('fanout-1', 0.055848832806135604)","('fanout-3', 0.049320559603743555)","('fanout-5', 0.042655090846809095)","('fanout-9', 0.04185639404951504)","('fanout-2', 0.041043572199989706)","('fanout-6', 0.03892143356030108)","('fanout-8', 0.03626260339391633)","('fanout-7', 0.03509761898805571)","('fanout-10', 0.03103642866848712)","('fanout-db', 0.0)"

