carts-db,"('carts', 0.64971003546875)","('front-end', 0.175144982265625)","('orders', 0.175144982265625)","('carts-db', 0.0)"

carts,"('carts', 0.64971003546875)","('front-end', 0.175144982265625)","('orders', 0.175144982265625)","('carts-db', 0.0)"

catalogue-db,"('front-end', 0.5386290038964844)","('catalogue', 0.4613709961035156)","('catalogue-db', 0.0)"

catalogue,"('front-end', 0.5386290038964844)","('catalogue', 0.4613709961035156)","('catalogue-db', 0.0)"

front-end

orders-db

orders,"('payment', 0.4441866113053929)","('orders', 0.3322083333333333)","('shipping', 0.22360505536127362)","('rabbitmq', 0.0)"

payment,"('payment', 0.6069664236979166)","('orders', 0.39303357630208335)"

queue-master

rabbitmq

session-db

shipping,"('orders', 0.5386290038964844)","('shipping', 0.4613709961035156)","('rabbitmq', 0.0)"

user-db,"('user', 0.64971003546875)","('orders', 0.26831883398571565)","('front-end', 0.08197113054553432)","('user-db', 0.0)"

user,"('user', 0.64971003546875)","('orders', 0.2654739924897851)","('front-end', 0.0848159720414649)","('user-db', 0.0)"

