,source,destination
0,queue-master,rabbitmq
1,shipping,rabbitmq
2,front-end,session-db
3,carts,carts-db
4,catalogue,catalogue-db
5,orders,orders-db
6,user,user-db
7,orders,shipping
8,front-end,user
9,orders,user
10,front-end,carts
11,orders,carts
12,front-end,catalogue
13,front-end,orders
14,orders,payment
15,catalogue-db,node2
16,user,node1
17,carts,node3
18,catalogue,node2
19,queue-master,node3
20,front-end,node1
21,payment,node1
22,carts-db,node1
23,orders,node3
24,orders-db,node2
25,rabbitmq,node2
26,session-db,node1
27,shipping,node3
28,user-db,node2
