,timestamp,front-end_carts,orders_carts,front-end_catalogue,front-end_orders,orders_payment,orders_shipping,front-end_user,orders_user,carts_carts-db,catalogue_catalogue-db,orders_orders-db,user_user-db
0,2022-09-25 10:30:52,27131.336405529957,16875.0,15136.986301369865,61333.33333333334,1907.2164948453608,3480.7692307692305,20830.81570996979,17400.88105726872,52.247116858876076,56.335,0.5696844352525184,80.05313333333334
1,2022-09-25 10:31:06,26151.315789473687,22102.272727272728,14262.589928057554,71478.87323943662,2045.454545454545,3344.8275862068963,21519.78417266187,18007.246376811592,52.401265818075004,62.99786666666667,0.5381088842929259,76.55913333333334
2,2022-09-25 10:31:20,31161.971830985913,15400.0,17500.0,63563.82978723404,2191.9191919191917,3254.5454545454545,22702.95202952029,18538.46153846154,53.715213380182945,65.21882222222223,0.5218281450841729,77.0600888888889
3,2022-09-25 10:31:34,28737.74509803922,17689.873417721523,13653.846153846152,63068.18181818182,1758.6206896551723,3313.725490196078,23233.695652173916,17051.28205128205,53.20688882948237,60.75438333333334,0.5220044421464629,75.49391666666666
4,2022-09-25 10:31:48,29483.695652173916,17622.95081967213,19767.441860465115,65492.95774647888,1701.2987012987014,3536.585365853658,21638.79598662207,18110.047846889953,53.704591063585895,63.416053333333345,0.5090568870505037,75.33570666666667
5,2022-09-25 10:32:02,30859.374999999996,21826.923076923078,15778.688524590165,65492.95774647888,2032.258064516129,3413.0434782608695,23132.411067193676,17417.58241758242,54.362514775210464,61.734655555555555,0.5026362947643086,74.23956666666668
6,2022-09-25 10:32:16,27987.4213836478,15789.473684210527,15778.688524590165,64344.262295081964,1417.910447761194,3413.0434782608695,22440.47619047619,17681.818181818184,54.91834599779945,62.76737142857144,0.49386920503607407,73.44239047619047
7,2022-09-25 10:32:30,31357.142857142855,20543.478260869568,16026.785714285716,66447.36842105263,2180.0000000000005,3391.304347826087,24529.28870292887,19507.575757575756,55.161069414741185,61.70971666666667,0.4872938877398981,73.35124166666667
8,2022-09-25 10:32:44,32007.575757575756,17627.118644067796,17254.098360655735,72018.34862385322,2049.5049504950493,3510.204081632653,23262.548262548265,17834.82142857143,56.028098739029204,62.02020740740741,0.4925427150280576,73.59190370370371
9,2022-09-25 10:32:58,32122.905027932957,15952.38095238095,15721.153846153848,61363.63636363637,2049.5049504950493,3145.833333333333,21885.813148788926,18611.111111111113,55.56767553179295,61.69027224955009,0.48901511019191846,73.78443333333334
10,2022-09-25 10:33:12,24103.26086956522,8975.409836065573,16097.122302158272,121036.58536585367,1850.0000000000002,3437.5,19911.575562700968,11308.13953488372,55.19067472587238,61.34310576821441,0.4880622213865926,73.93941212121211
11,2022-09-25 10:33:26,26086.95652173913,10133.928571428574,17800.0,175000.0,1117.647058823529,3300.0,20692.567567567567,12696.07843137255,54.64093516538301,60.30397473197433,0.49149592515993207,73.60286666666667
12,2022-09-25 10:33:40,26086.95652173913,10133.928571428574,15017.98561151079,175000.0,1805.1948051948057,3277.777777777778,21466.346153846156,9537.671232876713,54.854303204921116,60.057091398640985,0.49056666666666665,72.9538
