,source,destination
0,catalogue,catalogue-db
1,orders,orders-db
2,user,user-db
3,queue-master,rabbitmq
4,shipping,rabbitmq
5,front-end,session-db
6,carts,carts-db
7,front-end,orders
8,orders,payment
9,orders,shipping
10,front-end,user
11,orders,user
12,front-end,carts
13,orders,carts
14,front-end,catalogue
15,carts,home-cluster-node2
16,orders,home-cluster-node2
17,payment,home-cluster-node2
18,front-end,home-cluster-node3
19,orders-db,home-cluster-node1
20,shipping,home-cluster-node3
21,carts-db,home-cluster-node1
22,catalogue-db,home-cluster-node1
23,rabbitmq,home-cluster-node1
24,session-db,home-cluster-node2
25,user-db,home-cluster-node2
26,catalogue,home-cluster-node3
27,queue-master,home-cluster-node3
28,user,home-cluster-node1
