rootcause,faulttype,injectionver,pattern,score,in,out,localizedat
admin-order,abort,1011,"station,order-other,route,food,food-map,order,cancel,auth,verification-code,travel,","46.82,25.55,7.90,7.20,7.05,6.52,5.82,3.17,2.09,1.05,","104,8,36,1,34,41,0,0,23,40,","0,66,0,34,0,0,31,23,0,36,",-1
admin-order,abort,1015,"station,route,order-other,order,food,travel,train,cancel,food-map,basic,config,auth,seat,verification-code,ticketinfo,","88.01,22.69,18.17,13.22,12.01,10.02,8.94,7.16,5.94,3.98,3.34,3.17,2.80,2.55,1.01,","189,86,23,80,12,68,54,0,44,50,32,0,32,33,55,","0,0,86,0,63,95,0,50,0,68,0,33,48,0,50,",-1
admin-order,cpu,1014,"station,route,order,order-other,travel,food,cancel,train,food-map,auth,verification-code,seat,basic,ticketinfo,","123.02,30.62,25.13,16.44,15.78,14.46,13.90,13.83,7.72,7.29,5.44,4.20,2.80,1.64,","271,122,146,44,99,21,0,83,62,0,62,55,95,88,","0,0,0,114,144,87,86,0,0,62,0,78,107,95,",-1
admin-order,cpu,1016,"station,route,order-other,food,food-map,order,cancel,train,auth,config,price,verification-code,travel,basic,","72.71,21.84,16.55,12.43,8.71,8.11,4.68,4.21,3.98,3.23,2.78,2.58,0.69,0.28,","157,73,20,11,46,65,0,32,0,28,26,32,69,32,","0,0,82,54,0,0,34,0,32,0,0,0,71,34,",-1
assurance,abort,1011,"auth,food,food-map,station,route,verification-code,travel,","18.47,11.58,10.98,10.26,10.26,6.47,1.90,","0,0,30,29,29,41,33,","41,31,0,0,0,0,29,",-1
assurance,abort,1015,"station,route,auth,food,train,food-map,verification-code,config,order,travel,price,seat,basic,ticketinfo,","54.57,40.87,25.86,18.31,14.38,12.46,11.32,7.90,7.72,6.18,4.38,3.28,2.36,1.15,","113,98,0,0,58,54,82,43,42,95,32,41,59,55,","0,0,82,65,0,0,0,0,0,106,0,54,67,59,",-1
assurance,cpu,1012,"station,route,order,train,food,seat,travel,basic,config,food-map,order-other,preserve,price,cancel,security,travel2,ticketinfo,","193.29,68.45,39.95,28.56,17.15,16.67,16.52,14.70,13.52,11.12,10.96,9.06,8.45,6.60,3.86,1.54,0.31,","355,192,185,125,35,87,169,137,86,78,69,0,67,0,22,42,136,","0,0,0,0,103,144,205,180,0,0,112,67,0,61,54,55,137,",-1
assurance,cpu,1016,"station,route,food,food-map,order,order-other,train,cancel,auth,config,travel,price,verification-code,seat,basic,ticketinfo,","112.02,36.22,23.98,18.31,16.93,16.08,8.93,8.12,4.49,4.10,4.08,3.90,3.21,1.75,0.74,0.18,","235,119,17,84,112,40,59,0,0,40,112,39,43,45,65,66,","0,0,98,0,0,105,0,57,43,0,122,0,0,56,69,65,",-1
assurance,delay,1010,"station,order-other,route,food,order,food-map,travel,cancel,auth,verification-code,train,basic,ticketinfo,seat,","117.39,27.30,26.89,21.74,11.39,11.23,8.33,8.13,7.49,5.31,5.12,1.71,0.72,0.47,","262,20,110,19,98,71,91,0,0,59,48,52,57,33,","0,134,0,100,0,0,116,62,59,0,0,63,52,37,",-1
assurance,delay,1014,"station,route,food,order-other,food-map,order,train,travel,cancel,config,auth,verification-code,seat,basic,ticketinfo,","133.57,39.41,22.71,19.99,14.52,14.32,9.62,8.62,5.75,5.27,4.82,3.50,3.45,1.68,0.83,","261,128,21,43,78,103,63,120,0,47,0,46,49,73,69,","0,0,98,117,0,0,0,141,50,0,46,0,68,81,73,",-1
assurance+seat,cpu,1021,"station,route,travel,train,seat,order-other,order,food,basic,price,food-map,cancel,preserve,ticketinfo,","134.99,59.74,58.84,25.13,18.46,16.42,14.63,8.46,7.19,6.60,5.16,4.86,3.37,1.25,","258,156,42,101,87,29,97,16,102,52,46,0,0,106,","0,0,171,0,1,97,0,59,124,0,0,46,33,102,",-1
auth,abort,1011,"train,station,ticketinfo,config,route,basic,travel,order,price,seat,","6.86,6.86,4.76,4.76,4.76,4.52,4.29,3.05,1.19,1.05,","12,12,13,10,10,18,9,8,5,8,","0,0,18,0,0,13,15,0,0,10,",-1
auth,abort,1015,"station,train,route,config,order,price,seat,basic,travel,ticketinfo,","29.43,22.73,21.19,18.27,15.57,13.08,4.70,3.89,1.68,0.89,","33,29,28,26,24,22,22,30,28,29,","0,0,0,0,0,0,28,34,30,30,",-1
auth,cpu,1012,"station,route,train,auth,order,config,price,travel,seat,travel2,ticketinfo,","49.77,45.28,40.54,33.44,32.68,27.90,22.46,13.67,8.95,2.62,2.07,","97,93,88,0,79,73,65,77,72,36,93,","0,0,0,84,0,0,0,102,90,46,97,",4
auth,cpu,1016,"auth,route,station,train,order,config,price,travel,basic,seat,ticketinfo,","33.47,11.23,11.11,8.67,7.29,6.44,5.45,3.34,0.64,0.58,0.32,","0,33,33,29,27,25,23,25,29,28,30,","59,0,0,0,0,0,0,34,31,26,29,",1
auth,delay,1010,"station,route,train,order,config,travel,price,seat,ticketinfo,travel2,basic,","58.08,52.92,46.41,34.68,22.41,20.55,17.28,10.05,5.60,1.00,0.95,","66,63,59,51,41,47,36,40,60,21,66,","0,0,0,0,0,69,0,53,66,24,67,",-1
auth,delay,1014,"station,train,route,order,travel,config,price,seat,basic,travel-plan,ticketinfo,travel2,","15.75,12.89,12.89,8.26,6.03,4.32,3.57,3.00,2.46,2.29,0.79,0.32,","21,19,19,16,16,11,10,14,18,0,19,7,","0,0,0,0,23,0,0,18,21,8,18,8,",-1
basic,abort,1011,"auth,basic,travel,verification-code,travel-plan,ticketinfo,","9.62,9.00,6.63,3.21,1.00,0.53,","0,21,7,23,0,20,","23,0,20,0,7,21,",2
basic,abort,1015,"auth,basic,travel,verification-code,travel-plan,ticketinfo,route-plan,","16.90,16.49,11.66,5.90,2.02,0.53,0.39,","0,37,14,39,0,36,12,","39,0,36,0,12,37,14,",2
basic,abort,1023,"travel,ticketinfo,basic,travel-plan,auth,verification-code,route-plan,","69.79,60.38,22.03,16.41,14.44,5.52,2.97,","57,158,71,0,0,71,47,","158,71,0,47,71,0,57,",3
basic,cpu,1012,"station,route,food,order,train,travel,food-map,order-other,price,auth,cancel,config,seat,verification-code,basic,ticketinfo,","94.12,25.90,16.34,13.24,13.09,10.20,9.78,8.28,4.61,3.45,3.37,2.74,2.44,2.34,0.56,0.28,","173,83,6,75,59,76,51,16,35,0,0,27,37,32,70,69,","0,0,66,0,0,99,0,55,0,32,31,0,48,0,72,70,",15
basic,cpu,1016,"station,route,order-other,order,auth,train,food,verification-code,food-map,travel,config,cancel,seat,basic,ticketinfo,","79.75,24.38,12.45,10.51,10.29,9.00,8.78,6.16,5.94,4.06,3.52,2.98,1.17,0.84,0.42,","158,79,14,64,0,48,6,53,39,75,30,0,39,49,51,","0,0,63,0,53,0,45,0,0,85,0,28,45,53,49,",14
basic,delay,1025,"station,route,train,auth,travel,verification-code,price,order,config,seat,ticketinfo,basic,","47.01,36.35,28.30,28.01,21.59,18.33,17.45,15.84,6.16,4.65,4.42,0.54,","87,76,67,0,35,71,53,50,31,44,78,86,","0,0,0,71,79,0,0,0,0,55,86,87,",12
