carts-db,"('orders', 0.34482106039976324)","('carts', 0.3087029666381176)","('rabbitmq', 0.1693926396287858)","('front-end', 0.10625)","('shipping', 0.042198581560283686)","('queue-master', 0.028634751773049645)","('orders-db', 0.0)","('user', 0.0)","('payment', 0.0)","('carts-db', 0.0)"

carts,"('carts', 0.4838424246522276)","('rabbitmq', 0.2521853531255502)","('front-end', 0.08676368195399703)","('orders', 0.08676368195399703)","('shipping', 0.08243671981765587)","('queue-master', 0.008008138496572285)","('carts-db', 0.0)"

catalogue-db,"('rabbitmq', 0.41768451534299533)","('catalogue', 0.3012842346570046)","('front-end', 0.11776629383537371)","('queue-master', 0.09210339370183776)","('shipping', 0.07116156246278856)","('catalogue-db', 0.0)"

catalogue,"('catalogue', 0.5626489888462182)","('front-end', 0.21992881978067716)","('rabbitmq', 0.1563197611537818)","('shipping', 0.058034872664214324)","('queue-master', 0.0030675575551084716)","('catalogue-db', 0.0)"

front-end,"('rabbitmq', 0.6078346533120118)","('shipping', 0.48160656610805574)","('queue-master', -0.0894412194200675)"

orders-db,"('queue-master', 4.951389949908495)","('rabbitmq', 0.532404312621837)","('shipping', -4.48379426253033)"

orders,"('orders', 0.4408877615688089)","('shipping', 0.23929197449367268)","('payment', 0.11209690539571607)","('rabbitmq', 0.10895144958171601)","('queue-master', 0.09877190896008636)"

payment,"('payment', 0.6909299535390904)","('orders', 0.36617098866701364)","('shipping', 0.057930981451504084)","('rabbitmq', -0.0373216499676617)","('queue-master', -0.0777102736899462)"

queue-master,"('shipping', 0.48276607263449306)","('rabbitmq', 0.4613709961035156)","('queue-master', 0.055862931261991336)"

rabbitmq,"('rabbitmq', 0.46137099610351573)","('queue-master', 0.29427365540164385)","('shipping', 0.24435534849484064)"

session-db,"('rabbitmq', 0.4613709961035156)","('shipping', 0.2700861767389248)","('queue-master', 0.2685428271575595)"

shipping,"('orders', 0.60497326254675)","('shipping', 0.5366708624657544)","('rabbitmq', 0.007835901144919732)","('queue-master', -0.149480026157424)"

user-db,"('front-end', 0.48852547948736064)","('orders', 0.3776167329148251)","('shipping', 0.2132781245385275)","('user', 0.06002404658052775)","('rabbitmq', 0.01624864739188393)","('user-db', 0.0)","('orders-db', 0.0)","('carts', 0.0)","('payment', 0.0)","('queue-master', -0.1556930309131251)"

user,"('user', 0.4748036035613564)","('rabbitmq', 0.24416514643864368)","('front-end', 0.09279586227729121)","('orders', 0.09279586227729121)","('shipping', 0.09202158100797839)","('queue-master', 0.003417944437439197)","('user-db', 0.0)"

