carts-db,"('carts', 0.48781549078800757)","('rabbitmq', 0.24821228698977021)","('front-end', 0.08747614086421927)","('orders', 0.08747614086421927)","('queue-master', 0.054560608689738395)","('shipping', 0.034459331804045305)","('carts-db', 0.0)"

carts,"('carts', 0.5756115840119668)","('rabbitmq', 0.16041619376581095)","('front-end', 0.15673523630346994)","('orders', 0.049704620392220906)","('shipping', 0.04690138494010709)","('queue-master', 0.010630980586424275)","('carts-db', 0.0)"

catalogue-db,"('rabbitmq', 0.4613709961035156)","('queue-master', 0.4046416894943738)","('shipping', 0.1339873144021105)"

catalogue,"('catalogue', 0.5906265181007377)","('front-end', 0.2308647054061779)","('rabbitmq', 0.12834223189926225)","('shipping', 0.04465864503901079)","('queue-master', 0.005507899554811331)","('catalogue-db', 0.0)"

front-end,"('shipping', 0.7250108170271853)","('rabbitmq', 0.5891605370179285)","('queue-master', -0.3141713540451136)"

orders-db,"('queue-master', 0.671414175232857)","('rabbitmq', 0.5891605370179287)","('shipping', -0.2605747122507854)"

orders,"('orders', 0.38541516312042673)","('shipping', 0.19340375432329843)","('rabbitmq', 0.16334976458756362)","('queue-master', 0.16111483871596471)","('payment', 0.09671647925274648)"

payment,"('queue-master', 0.7592225798763411)","('rabbitmq', 0.48334054468479)","('shipping', -0.24256312456113133)"

queue-master,"('rabbitmq', 0.4613709961035157)","('shipping', 0.42411732590274354)","('queue-master', 0.11451167799374075)"

rabbitmq,"('rabbitmq', 0.46137099610351556)","('queue-master', 0.3972565619289031)","('shipping', 0.14137244196758117)"

session-db,"('rabbitmq', 0.4613709961035158)","('queue-master', 0.37639135212043495)","('shipping', 0.16223765177604954)"

shipping,"('shipping', 1.3780005218981055)","('orders', 0.9284177663493052)","('rabbitmq', -0.6099096858600425)","('queue-master', -0.6965086023873686)"

user-db,"('user', 0.9065079909265228)","('orders', 0.449792006311866)","('shipping', 0.2739800960075911)","('front-end', 0.1350726745681279)","('user-db', 0.0)","('rabbitmq', -0.29867333761451115)","('queue-master', -0.4666794301995968)"

user,"('shipping', 0.4956708624814272)","('rabbitmq', 0.4613709961035158)","('queue-master', 0.04295814141505702)"

