,source,destination
0,fanout-4,fanout-4-db
1,fanout-5,fanout-5-db
2,fanout-6,fanout-6-db
3,fanout-8,fanout-8-db
4,fanout-1,fanout-1-db
5,fanout-14,fanout-14-db
6,fanout-15,fanout-15-db
7,fanout-7,fanout-7-db
8,fanout-11,fanout-11-db
9,fanout-12,fanout-12-db
10,fanout-2,fanout-2-db
11,fanout-3,fanout-3-db
12,fanout-10,fanout-10-db
13,fanout-13,fanout-13-db
14,fanout-9,fanout-9-db
15,gateway,fanout-15
16,gateway,fanout-4
17,gateway,fanout-5
18,gateway,fanout-11
19,gateway,fanout-3
20,gateway,fanout-7
21,gateway,fanout-2
22,gateway,fanout-12
23,gateway,fanout-13
24,gateway,fanout-8
25,gateway,fanout-9
26,gateway,fanout-1
27,gateway,fanout-14
28,gateway,fanout-6
29,gateway,fanout-10
30,fanout-1-db,home-cluster-node3
31,fanout-10-db,home-cluster-node2
32,fanout-11,home-cluster-node2
33,fanout-14-db,home-cluster-node2
34,fanout-15-db,home-cluster-node2
35,fanout-5,home-cluster-node3
36,fanout-8,home-cluster-node1
37,fanout-10,home-cluster-node1
38,fanout-7,home-cluster-node3
39,fanout-2-db,home-cluster-node3
40,fanout-6-db,home-cluster-node1
41,fanout-8-db,home-cluster-node2
42,fanout-13-db,home-cluster-node1
43,fanout-14,home-cluster-node1
44,fanout-2,home-cluster-node2
45,fanout-3,home-cluster-node1
46,fanout-3-db,home-cluster-node3
47,fanout-4-db,home-cluster-node3
48,fanout-1,home-cluster-node1
49,fanout-11-db,home-cluster-node3
50,gateway,home-cluster-node3
51,fanout-12-db,home-cluster-node1
52,fanout-13,home-cluster-node2
53,fanout-15,home-cluster-node1
54,fanout-4,home-cluster-node2
55,fanout-7-db,home-cluster-node1
56,fanout-12,home-cluster-node3
57,fanout-9,home-cluster-node3
58,fanout-9-db,home-cluster-node2
59,fanout-5-db,home-cluster-node1
60,fanout-6,home-cluster-node2
