,timestamp,front-end_carts,orders_carts,front-end_catalogue,front-end_orders,orders_payment,orders_shipping,front-end_user,orders_user,carts_carts-db,catalogue_catalogue-db,orders_orders-db,user_user-db
0,2022-09-27 05:58:36,25490.196078431378,14700.0,11089.74358974359,50632.91139240507,1584.2696629213483,3115.9420289855075,18245.614035087718,13854.166666666668,60.766400000000004,64.98206666666667,0.5785333333333333,81.916
1,2022-09-27 05:58:50,26953.125000000004,14475.806451612903,12946.428571428569,49295.77464788732,1451.6129032258066,3285.7142857142862,20972.222222222223,14931.506849315067,60.08266666666667,64.98206666666667,0.5859,82.64516666666665
2,2022-09-27 05:59:04,24644.549763033177,13246.268656716415,13990.384615384613,61021.50537634409,1989.473684210526,3288.288288288288,20776.699029126212,16519.230769230766,60.988933333333335,63.47083520404767,0.5887777777777777,82.88822222222221
3,2022-09-27 05:59:18,24856.45933014354,16018.518518518518,14368.131868131868,49315.068493150684,2206.8965517241377,3087.5912408759123,19513.546798029558,15701.219512195123,61.17301666666667,66.10122373930653,0.6019,83.6848
4,2022-09-27 05:59:32,23913.043478260868,16450.000000000004,14928.571428571431,65963.85542168675,2206.8965517241377,3406.25,21516.272189349114,18341.1214953271,61.776493333333335,67.21339232477855,0.6092266666666666,83.68054666666667
5,2022-09-27 05:59:46,25276.548672566376,16081.08108108108,15678.57142857143,54411.76470588235,1620.6896551724135,3139.1304347826085,19805.82524271845,15939.086294416242,61.20091111111111,68.01027138175992,0.6141111111111112,83.36813333333333
6,2022-09-27 06:00:00,26332.487309644664,14101.5625,13980.76923076923,53378.37837837837,1708.333333333333,3132.2314049586776,20418.00643086817,16692.82511210762,61.48677142857143,67.70609927960373,0.5985619047619047,82.61350476190476
7,2022-09-27 06:00:14,26332.487309644664,14101.5625,13722.62773722628,54268.292682926825,1571.428571428571,3094.488188976378,19238.826815642456,15376.106194690265,61.99988333333334,68.35802853631994,0.5940583333333334,83.33143394732751
8,2022-09-27 06:00:28,23348.623853211015,15921.052631578948,15105.421686746988,55722.89156626507,1840.0000000000002,3207.9999999999995,20802.980132450328,15940.000000000002,62.60155555555556,67.85880273617812,0.592637037037037,83.53459876125409
9,2022-09-27 06:00:42,23377.40384615384,17666.666666666664,15227.272727272726,64825.58139534883,1909.0909090909092,3400.0,20825.471698113204,16833.333333333332,62.76526,67.23108960722782,0.5932266666666666,83.79117221846201
10,2022-09-27 06:00:56,22868.852459016394,14166.666666666668,6376.146788990826,46346.153846153844,1303.7974683544307,3366.1971830985917,16679.6875,14532.085561497328,62.56319393939395,65.41684509747984,0.584139393939394,83.05981110769272
11,2022-09-27 06:01:10,19324.324324324323,14650.000000000002,5669.014084507044,48093.220338983054,1369.230769230769,3535.211267605634,14420.731707317073,12823.529411764704,61.63299444444445,65.42484689491208,0.5633388888888888,82.06882684871833
12,2022-09-27 06:01:24,18181.818181818184,12361.111111111115,5669.014084507044,57327.58620689655,1649.9999999999998,3285.714285714286,14420.731707317073,12823.529411764704,60.85252777777779,64.20036911713429,0.5482289198477239,80.48049351538499
