carts-db,"('carts', 0.49227920082410787)","('rabbitmq', 0.24374857695366986)","('front-end', 0.08827658311188999)","('orders', 0.08827658311188999)","('shipping', 0.044830285127406305)","('queue-master', 0.042588770871035984)","('carts-db', 0.0)"

carts,"('carts', 0.4817388712895532)","('rabbitmq', 0.25428890648822455)","('front-end', 0.08638646816365295)","('orders', 0.08638646816365295)","('shipping', 0.08028106152721508)","('queue-master', 0.01091822436770125)","('carts-db', 0.0)"

catalogue-db,"('rabbitmq', 0.42723463444075394)","('catalogue', 0.29173411555924617)","('front-end', 0.1140333333865476)","('queue-master', 0.10761032180070261)","('shipping', 0.05938759481274978)","('catalogue-db', 0.0)"

catalogue,"('catalogue', 0.572656931296154)","('front-end', 0.2238407346958018)","('rabbitmq', 0.14631181870384602)","('shipping', 0.053250014249718966)","('queue-master', 0.003940501054479202)","('catalogue-db', 0.0)"

front-end,"('rabbitmq', 0.6078346533120115)","('shipping', 0.5299531711999842)","('queue-master', -0.13778782451199592)"

orders-db,"('queue-master', 1.3855054213824647)","('rabbitmq', 0.510681785203865)","('shipping', -0.8961872065863289)"

orders,"('orders', 0.4204742005894962)","('shipping', 0.223009925049792)","('rabbitmq', 0.1275396943535691)","('queue-master', 0.12153310515555858)","('payment', 0.1074430748515841)"

payment,"('orders', 0.645187579778561)","('payment', 0.5161260194469091)","('shipping', 0.1020734871786408)","('rabbitmq', -0.07169307748262332)","('queue-master', -0.19169400892148744)"

queue-master,"('shipping', 0.46353614793157)","('rabbitmq', 0.4613709961035156)","('queue-master', 0.07509285596491434)"

rabbitmq,"('rabbitmq', 0.46137099610351573)","('queue-master', 0.33809698457538084)","('shipping', 0.20053201932110368)"

session-db,"('rabbitmq', 0.4613709961035156)","('queue-master', 0.3134496544414323)","('shipping', 0.22517934945505194)"

shipping,"('shipping', 0.7495881744809842)","('orders', 0.6805478283747081)","('rabbitmq', -0.0762992288272384)","('queue-master', -0.35383677402845354)"

user-db,"('shipping', 0.6035422164146932)","('user', 0.4727444111524539)","('front-end', 0.27595346632880374)","('orders', 0.27595346632880374)","('user-db', 0.0)","('rabbitmq', -0.011373415048938365)","('queue-master', -0.6168201451758164)"

user,"('user', 0.4219892037689416)","('rabbitmq', 0.29697954623105854)","('shipping', 0.11034569654267516)","('front-end', 0.08247378861855287)","('orders', 0.08247378861855287)","('queue-master', 0.005737976220219109)","('user-db', 0.0)"

