variant,avg. rank (microrca),localization fail rate (microrca),avg. rank (tracerca),localization fail rate (tracerca)
foc15s,1.0666666666666667,0.0,1.0,0.0
chc15s,5.230769230769231,0.13333333333333333,5.266666666666667,0.0
