rootcause,tracerca_rank,tracerca_patterns,tracerca_scores,microrca_rank,microrca_patterns,microrca_scores
fanout-6,1,"fanout-6,fanout-1,fanout-15,","125.45,0.00,0.00,",1,"fanout-6,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-14,-1,"fanout-15,","0.00,",1,"fanout-14,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-7,-1,"fanout-14,fanout-9,fanout-5,","0.00,0.00,0.00,",2,"gateway,fanout-7,fanout-6,"," 0.561, 0.2618508019442888, 0.17714919805571128,"
fanout-15,-1,"fanout-7,","0.00,",1,"fanout-15,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-5,1,"fanout-5,fanout-11,fanout-14,fanout-13,fanout-12,fanout-2,fanout-4,fanout-3,fanout-10,fanout-9,fanout-7,","128.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",1,"fanout-5,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-4,-1,"fanout-15,fanout-1,fanout-6,","0.00,0.00,0.00,",1,"fanout-4,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-13,1,"fanout-13,fanout-9,fanout-1,fanout-4,fanout-15,fanout-14,fanout-5,fanout-6,fanout-11,fanout-10,fanout-2,fanout-7,fanout-8,fanout-3,fanout-12,","126.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",1,"fanout-13,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-1,1,"fanout-1,fanout-2,fanout-5,fanout-4,fanout-6,fanout-9,fanout-15,fanout-8,fanout-3,fanout-13,fanout-14,fanout-7,fanout-12,fanout-10,fanout-11,","121.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",1,"fanout-1,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-8,-1,"fanout-12,","0.00,",1,"fanout-8,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-9,-1,"fanout-11,","0.00,",1,"fanout-9,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-12,1,"fanout-12,fanout-13,fanout-10,fanout-15,fanout-14,fanout-11,","122.67,0.00,0.00,0.00,0.00,0.00,",1,"fanout-12,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-2,1,"fanout-2,fanout-1,fanout-7,fanout-13,fanout-12,fanout-11,fanout-9,fanout-3,fanout-10,fanout-4,fanout-15,fanout-8,fanout-14,fanout-5,fanout-6,","115.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",1,"fanout-2,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-10,-1,"fanout-13,fanout-3,","0.00,0.00,",1,"fanout-10,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-3,1,"fanout-3,fanout-14,fanout-2,fanout-11,fanout-13,fanout-9,fanout-7,fanout-12,fanout-5,fanout-10,fanout-4,","131.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",1,"fanout-3,gateway,"," 0.6069664236979166, 0.39303357630208335,"
fanout-11,1,"fanout-11,fanout-9,fanout-7,fanout-4,fanout-15,fanout-14,fanout-5,fanout-6,fanout-3,fanout-8,fanout-12,fanout-1,fanout-13,fanout-10,fanout-2,","123.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",1,"fanout-11,gateway,"," 0.6069664236979166, 0.39303357630208335,"
