rootcause,faulttype,injectionver,pattern,score,in,out,localizedat
auth,cpu,1012,"assurance,ts-ui-dashboard,auth,","30.62,25.38,15.00,","80,73,56,","0,0,0,",3
auth,cpu,1016,"assurance,auth,","31.00,24.92,","62,54,","0,0,",2
auth,delay,1014,"assurance,auth,ts-ui-dashboard,","30.43,27.88,3.56,","70,67,24,","0,0,0,",2
basic,abort,1023,"ticketinfo,basic,travel,travel-plan,route-plan,","65.50,27.98,26.00,20.20,2.26,","127,61,101,78,44,","61,0,127,44,49,",2
basic+train,cpu,1021,"ticketinfo,train,travel,basic,preserve,ts-ui-dashboard,","10.71,5.88,4.50,3.29,0.53,0.16,","1,10,10,14,3,3,","14,0,1,10,0,0,",4
config,delay,1025,"seat,config,travel,preserve,notification,","33.15,29.75,17.14,8.08,0.33,","0,34,20,19,1,","34,0,0,2,0,",2
food-map,delay,1025,"food,food-map,","63.21,22.24,","131,56,","56,0,",2
inside-payment,cpu,1014,"ts-ui-dashboard,inside-payment,food,food-map,station,order,","7.95,6.94,2.74,1.04,0.34,0.10,","42,27,24,8,5,1,","0,0,8,0,0,0,",2
notification,cpu,1012,"ticketinfo,notification,travel,preserve,","17.03,16.82,9.67,5.94,","29,29,0,0,","0,0,29,16,",2
notification,delay,1025,"preserve,notification,cancel,preserve-other,seat,user,","11.70,5.67,2.53,0.67,0.62,0.27,","27,17,25,8,2,1,","1,0,15,3,0,0,",2
payment,cpu,1014,"ticketinfo,travel,","12.49,6.33,","21,0,","0,21,",-1
payment,delay,1025,"inside-payment,payment,preserve,","14.74,1.28,0.75,","32,8,7,","8,0,0,",2
price,abort,1024,"travel,ticketinfo,price,basic,travel-plan,route-plan,","14.93,10.63,6.53,5.80,3.73,1.47,","25,9,14,20,14,6,","9,20,0,14,6,10,",3
price,cpu,1014,"ticketinfo,travel,basic,price,preserve,station,","21.54,12.35,7.86,4.03,0.37,0.19,","28,0,0,11,0,1,","0,28,11,0,1,0,",4
seat,abort,1024,"ts-ui-dashboard,seat,travel-plan,travel,route-plan,","9.26,5.38,0.82,0.49,0.18,","19,14,8,15,4,","0,0,4,14,3,",2
seat,delay,1025,"travel,preserve,notification,cancel,","4.44,0.33,0.29,0.11,","8,2,2,0,","0,0,0,2,",-1
security,abort,1023,"preserve,security,","22.80,6.00,","38,15,","14,0,",2
security,cpu,1012,,,,,-1
security,delay,1010,"preserve,security,seat,","6.77,3.69,1.19,","16,6,2,","5,0,4,",2
security,delay,1014,"preserve,security,train,","9.39,4.57,0.37,","18,7,1,","6,0,0,",2
security,delay,1025,"preserve,security,travel,","31.54,7.59,0.36,","52,16,0,","15,0,1,",2
station,abort,1023,"travel,ticketinfo,station,basic,travel-plan,route-plan,","27.56,25.78,17.80,10.83,9.00,4.44,","46,15,31,44,27,9,","15,44,0,31,9,19,",3
station+basic,delay,1021,"station,travel-plan,travel,ticketinfo,ts-ui-dashboard,train,","8.47,2.12,1.53,1.53,0.94,0.82,","12,6,8,10,4,2,","0,0,10,12,0,0,",-1
travel,delay,1025,"food,travel,seat,notification,user,preserve,","9.54,7.90,3.29,0.56,0.21,0.12,","19,18,6,3,1,5,","2,0,15,0,0,4,",2
travel-plan,cpu,1012,"ticketinfo,travel,travel-plan,","20.40,14.57,8.03,","27,0,17,","0,27,0,",3
user,abort,1023,"preserve,user,","16.80,13.07,","36,28,","8,0,",2
user,cpu,1012,"ticketinfo,travel,user,preserve,travel2,","22.65,9.75,8.64,4.71,1.12,","36,0,22,0,0,","0,26,0,13,7,",3
user,delay,1025,"preserve,cancel,","8.76,3.53,","18,15,","0,3,",-1
user+verification-code,cpu,1021,"verification-code,auth,","81.81,1.23,","94,0,","0,12,",-1
