,timestamp,gateway_fanout-1,gateway_fanout-2,gateway_fanout-3,gateway_fanout-4,gateway_fanout-5,fanout-1_fanout-1-db,fanout-2_fanout-2-db,fanout-3_fanout-3-db,fanout-4_fanout-4-db,fanout-5_fanout-5-db
0,2022-09-28 22:57:44,6810.3448275862065,6693.548387096774,6810.3448275862065,5982.142857142857,6250.0,0.5676666666666667,0.5676666666666667,0.5481333333333334,0.5564,0.5780489431219576
1,2022-09-28 22:57:58,7500.0,7214.285714285715,6907.894736842105,5937.5,6987.179487179487,0.5574,0.5625333333333333,0.5574,0.5574,0.5573147167635375
2,2022-09-28 22:58:12,6714.285714285715,6206.896551724139,6323.529411764706,5769.23076923077,5862.068965517242,0.5642444444444444,0.5779333333333333,0.5680000000000001,0.5639111111111111,0.5642903874830556
3,2022-09-28 22:58:26,6018.518518518519,6300.0,6465.517241379311,5326.086956521739,6160.714285714285,0.5548333333333333,0.5522666666666667,0.5625333333333333,0.5574,0.5600011239456251
4,2022-09-28 22:58:40,7195.121951219512,5666.666666666667,7125.0,6176.470588235295,6805.555555555556,0.5532933333333333,0.5594533333333334,0.5534933333333334,0.5572,0.5553742324898334
5,2022-09-28 22:58:54,7426.470588235295,6465.517241379311,6928.571428571428,6293.103448275862,6465.517241379311,0.5522666666666667,0.5608222222222222,0.5608222222222222,0.5625333333333333,0.5590827381622812
6,2022-09-28 22:59:08,7424.242424242425,6842.105263157895,6571.428571428572,6406.25,6527.777777777777,0.5544666666666667,0.5603333333333333,0.5619428571428572,0.5663428571428571,0.5618197368422541
7,2022-09-28 22:59:22,7424.242424242425,6842.105263157895,6571.428571428572,6406.25,6527.777777777777,0.5586833333333333,0.5651,0.5637206391478029,0.56125,0.5650242558878479
8,2022-09-28 22:59:36,6515.151515151516,6363.636363636363,6969.696969696971,6333.333333333334,6714.285714285715,0.5608222222222222,0.5631037037037037,0.5643545571537806,0.5677777777777778,0.5608291021934954
9,2022-09-28 22:59:50,7196.969696969697,5803.571428571428,6590.909090909091,5833.333333333334,6544.117647058823,0.56048,0.5635600000000001,0.5635035170228181,0.5635600000000001,0.5625010220874037
10,2022-09-28 23:00:04,6833.333333333334,6041.666666666667,8333.333333333334,6200.000000000001,6774.193548387097,0.5611333333333334,0.5648666666666666,0.5601965724868463,0.5658909090909091,0.56487296507309
11,2022-09-28 23:00:18,7195.121951219512,6209.677419354839,75000.0,6083.333333333334,6439.393939393939,0.5608222222222222,0.5625333333333333,0.5633292891355611,0.5642444444444444,0.5633673221656011
12,2022-09-28 23:00:32,6428.571428571428,5119.047619047619,75000.0,5217.391304347826,5000.0,0.5599666666666666,0.5599666666666666,0.5674672757137356,0.5635555555555556,0.5607636810873733
