,source,destination
0,shipping,rabbitmq
1,front-end,session-db
2,carts,carts-db
3,catalogue,catalogue-db
4,orders,orders-db
5,user,user-db
6,queue-master,rabbitmq
7,front-end,carts
8,orders,carts
9,front-end,catalogue
10,front-end,orders
11,orders,payment
12,orders,shipping
13,front-end,user
14,orders,user
15,catalogue-db,home-cluster-node1
16,payment,home-cluster-node2
17,rabbitmq,home-cluster-node1
18,shipping,home-cluster-node3
19,user,home-cluster-node1
20,user-db,home-cluster-node2
21,carts,home-cluster-node2
22,catalogue,home-cluster-node3
23,queue-master,home-cluster-node3
24,orders,home-cluster-node2
25,orders-db,home-cluster-node1
26,session-db,home-cluster-node2
27,carts-db,home-cluster-node1
28,front-end,home-cluster-node3
