,source,destination
0,fanout-4,fanout-4-db
1,orders,orders-db
2,shipping,rabbitmq
3,queue-master,rabbitmq
4,carts,carts-db
5,fanout-1,fanout-1-db
6,fanout-3,fanout-3-db
7,fanout-5,fanout-5-db
8,user,user-db
9,front-end,session-db
10,catalogue,catalogue-db
11,fanout-2,fanout-2-db
12,front-end,catalogue
13,front-end,orders
14,orders,payment
15,orders,shipping
16,front-end,user
17,orders,user
18,front-end,carts
19,orders,carts
20,orders-db,home-cluster-node1
21,user,home-cluster-node1
22,user-db,home-cluster-node2
23,front-end,home-cluster-node3
24,carts-db,home-cluster-node1
25,rabbitmq,home-cluster-node1
26,session-db,home-cluster-node2
27,shipping,home-cluster-node3
28,orders,home-cluster-node2
29,catalogue,home-cluster-node3
30,catalogue-db,home-cluster-node1
31,payment,home-cluster-node2
32,queue-master,home-cluster-node3
33,carts,home-cluster-node2
