service,inward edges,outward edges,pagerank,rca rank
user,2,0,0.16554648763821395,1
orders,1,4,0.1365331088933683,2
carts,2,0,0.16554648763821395,1
front-end,0,4,0.11260468314904803,-1
catalogue,1,0,0.1365331088933683,2
payment,1,0,0.14161806189389364,1
shipping,1,0,0.14161806189389364,2
