,rootcause,tracerca_rank,microrca_rank,tracerca_pattern,microrca_pattern
4,fanout-1,1,1,fanout-1  fanout-10  fanout-5,fanout-1  gateway  
8,fanout-10,1,1,fanout-10  fanout-8  fanout-3,fanout-10  gateway  
7,fanout-2,-1,1,fanout-1  fanout-7  fanout-5,fanout-2  gateway  
9,fanout-3,1,1,fanout-3  fanout-9  fanout-4,fanout-3  gateway  
3,fanout-4,1,3,fanout-4  fanout-1  fanout-2,gateway  fanout-3  fanout-4
2,fanout-5,1,2,fanout-5  fanout-3  fanout-10,gateway  fanout-5  fanout-4
0,fanout-6,1,1,fanout-6  fanout-5  fanout-10,fanout-6  gateway  
1,fanout-7,1,2,fanout-7  fanout-4  fanout-10,gateway  fanout-7  fanout-6
5,fanout-8,1,1,fanout-8  fanout-4  fanout-7,fanout-8  gateway  
6,fanout-9,1,2,fanout-9  fanout-1  fanout-3,gateway  fanout-9  fanout-8
