fanout-1,"('gateway', 0.5386290038964844)","('fanout-1', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-2,"('gateway', 0.5386290038964844)","('fanout-2', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-3,"('gateway', 0.5386290038964844)","('fanout-3', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-4,"('gateway', 0.5386290038964844)","('fanout-4', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-5,"('gateway', 0.5386290038964844)","('fanout-5', 0.4613709961035156)","('fanout-db', 0.0)"

fanout-db,"('gateway', 0.425)","('fanout-5', 0.13051747700553243)","('fanout-3', 0.12166400967656894)","('fanout-4', 0.11651003236154828)","('fanout-1', 0.11291751162702798)","('fanout-2', 0.09339096932932238)","('fanout-db', 0.0)"

gateway,"('gateway', 0.5386290038964844)","('fanout-3', 0.4613709961035156)","('fanout-db', 0.0)"

