,timestamp,ctn_cpu,ctn_network,ctn_memory,node_cpu,node_network,node_memory
0,2022-09-28 17:03:31,0.005524196907852262,0.0004874346432787992,0.0803578435219336,0.10909414091141338,0.07983202612926876,0.15830570508245279
1,2022-09-28 17:03:45,0.006465476031352116,0.00043406642243242995,0.07584904262805081,0.10933333333331749,0.07873333333333334,0.15810739036485
2,2022-09-28 17:03:59,0.00688825438544446,0.0004676856976143677,0.08408778304695037,0.10655555555554727,0.06515555555555555,0.15868319027511746
3,2022-09-28 17:04:13,0.006863598299356408,0.00043563599204614036,0.0,0.10457182228348255,0.06318760696108283,0.15771125180765833
4,2022-09-28 17:04:27,0.006918259343434324,0.0004392937040262763,0.0,0.10633333333335551,0.062,0.1580759741719624
5,2022-09-28 17:04:41,0.006574203837381566,0.00040983130372179423,0.0,0.10355555555556502,0.06097777777777778,0.15740494392700444
6,2022-09-28 17:04:55,0.0065270274736663695,0.0003812862136195752,0.0,0.10966666666665559,0.06253333333333333,0.157995470177688
7,2022-09-28 17:05:09,0.006748608928251924,0.0004120826888230924,0.0,0.10755555555555144,0.06293333333333333,0.15763762010557802
8,2022-09-28 17:05:23,0.006856361213304332,0.00043556279966662075,0.0,0.10755555555555144,0.06293333333333333,0.15763762010557802
9,2022-09-28 17:05:37,0.005534098171778381,0.00046296154527931434,0.0,0.10766666666667256,0.06273333333333334,0.15828214293778708
10,2022-09-28 17:05:51,0.005566575706411623,0.00040551337398864873,0.10428760566249111,0.11311111111111206,0.0798,0.15764792854386933
11,2022-09-28 17:06:05,0.006587466056191469,0.00040209584970348215,1.7997297024387329,0.11355555555556114,0.07813333333333335,0.15846425868093228
12,2022-09-28 17:06:19,0.006797323503102803,0.00039925105337068384,8.574490644745953,0.11199999999999453,0.07757777777777777,0.15770683390553342
