chain-10

chain-11

chain-12,"('chain-11', 0.4905894697082207)","('chain-10', 0.29549923780296616)","('chain-12', 0.21391129248881302)","('chain-db', 0.0)","('chain-13', 0.0)"

chain-13,"('chain-12', 0.4953529664825666)","('chain-11', 0.36149781458315505)","('chain-13', 0.14314921893427834)","('chain-db', 0.0)","('chain-14', 0.0)"

chain-14,"('chain-12', 0.29977538546152466)","('chain-13', 0.29478327064912047)","('chain-11', 0.20473330832045913)","('chain-10', 0.16700997321498384)","('chain-14', 0.07580766701884291)","('chain-db', 0.0)","('chain-15', -0.04210960466493091)"

chain-15,"('chain-14', 0.44743468057927643)","('chain-13', 0.3905892855570255)","('chain-15', 0.16197603386369794)","('chain-db', 0.0)"

chain-1

chain-2

chain-3

chain-4

chain-5

chain-6

chain-7

chain-8

chain-9

chain-db,"('chain-9', 0.17452699254095735)","('chain-11', 0.12172488042602433)","('chain-1', 0.11477379302243226)","('chain-2', 0.10708421175234341)","('chain-14', 0.10684028159147572)","('chain-13', 0.10436464493458852)","('chain-12', 0.09746723521893304)","('chain-10', 0.053125)","('chain-8', 0.053125)","('gateway', 0.053125)","('chain-15', 0.013842960513245378)","('chain-db', 0.0)","('chain-3', 0.0)"

gateway

