,source,destination
0,orders,orders-db
1,user,user-db
2,queue-master,rabbitmq
3,shipping,rabbitmq
4,front-end,session-db
5,carts,carts-db
6,catalogue,catalogue-db
7,front-end,carts
8,orders,carts
9,front-end,catalogue
10,front-end,orders
11,orders,payment
12,orders,shipping
13,front-end,user
14,orders,user
15,queue-master,node3
16,session-db,node1
17,user-db,node2
18,payment,node1
19,shipping,node3
20,front-end,node1
21,carts-db,node1
22,catalogue,node2
23,orders,node3
24,rabbitmq,node2
25,carts,node3
26,orders-db,node2
27,user,node1
28,catalogue-db,node2
