,timestamp,gateway_chain-1,chain-9_chain-10,chain-1_chain-2,chain-2_chain-3,chain-3_chain-4,chain-4_chain-5,chain-5_chain-6,chain-6_chain-7,chain-7_chain-8,chain-8_chain-9,chain-1_chain-db,chain-10_chain-db,chain-2_chain-db,chain-3_chain-db,chain-4_chain-db,chain-5_chain-db,chain-6_chain-db,chain-7_chain-db,chain-8_chain-db,chain-9_chain-db
0,2022-09-28 19:34:17,73404.25531914894,6612.903225806452,69285.71428571429,63709.67741935484,43145.161290322576,37500.0,36111.11111111112,24400.0,18000.0,15131.578947368422,0.5767333333333333,0.5534,0.6077333333333333,0.5502666666666667,0.5502666666666667,0.5606,0.5606,0.5296000000000001,0.5399333333333333,0.5296000000000001
1,2022-09-28 19:34:31,73404.25531914894,5462.962962962963,70555.55555555556,54464.28571428571,41875.0,38750.0,33928.57142857143,25000.0,18546.51162790698,15131.578947368422,0.5583333333333333,0.5534,0.579,0.5709333333333333,0.5709333333333333,0.5606,0.5657666666666666,0.5761000000000001,0.5399333333333333,0.5761000000000001
2,2022-09-28 19:34:45,73214.28571428571,5300.000000000001,67857.14285714286,55769.23076923077,41935.48387096774,36184.21052631579,33928.57142857143,23500.0,17500.0,14772.727272727272,0.5763111111111111,0.5638,0.5763111111111111,0.5606,0.5571555555555556,0.5606,0.5537111111111112,0.5571555555555556,0.5571555555555555,0.5571555555555556
3,2022-09-28 19:34:59,69444.44444444444,5300.000000000001,64393.93939393939,58035.71428571428,40705.1282051282,38352.272727272735,34722.22222222222,22777.777777777777,17840.909090909092,13103.448275862069,0.5620499999999999,0.5612,0.5723833333333334,0.5580166666666666,0.5528500000000001,0.5476833333333333,0.5527034185757415,0.5580166666666667,0.5502666666666667,0.5476833333333333
4,2022-09-28 19:35:13,71022.72727272726,5326.086956521739,66891.8918918919,55357.142857142855,43560.606060606064,37068.965517241384,33680.555555555555,22777.777777777777,17500.0,13409.09090909091,0.5658933333333332,0.55548,0.56796,0.5668,0.5585333333333333,0.5626666666666666,0.5520988030545196,0.5668,0.5523333333333333,0.5523333333333333
5,2022-09-28 19:35:27,73295.45454545454,6363.636363636363,69594.5945945946,59259.25925925927,45982.14285714286,37068.965517241384,35714.28571428572,28879.310344827587,18414.634146341465,16187.5,0.565011111111111,0.5638,0.5701777777777778,0.5623222222222223,0.5623222222222223,0.5588777777777777,0.5587876215167803,0.5623222222222223,0.5606,0.5588777777777778
6,2022-09-28 19:35:41,77564.10256410256,6018.518518518519,71951.21951219512,69375.0,54000.00000000001,38690.47619047619,37500.0,24423.076923076922,19642.857142857145,15250.0,0.5673333333333332,0.5638,0.5702857142857143,0.5635523809523809,0.5665047619047618,0.5606,0.5590465327286688,0.5635523809523809,0.5591238095238095,0.5576476190476191
7,2022-09-28 19:35:55,75000.0,6916.666666666666,69871.79487179486,62500.0,44285.71428571428,43359.375,37500.0,33823.52941176471,18125.0,16513.157894736843,0.5639083333333332,0.5638,0.5677833333333333,0.5709333333333333,0.564475,0.5618916666666667,0.5592407161375852,0.56835,0.5580166666666666,0.5580166666666667
8,2022-09-28 19:36:09,69871.79487179487,5833.333333333333,62903.22580645161,49519.230769230766,42229.72972972973,38095.23809523809,31640.625,25000.0,17670.454545454548,12578.124999999998,0.5750222222222221,0.5695777777777777,0.5761703703703703,0.5732296296296296,0.5743777777777778,0.5732296296296295,0.5720213773074831,0.5720814814814815,0.5697851851851852,0.5663407407407407
9,2022-09-28 19:36:23,73214.28571428572,6691.176470588235,68750.0,52083.333333333336,42229.72972972973,37812.5,35625.0,27884.615384615387,17325.58139534884,14545.454545454546,0.5746133333333333,0.5710332693844924,0.5756466666666666,0.5750666666666666,0.5709333333333333,0.5709333333333333,0.5688125729100681,0.5719666666666667,0.5668,0.5688666666666666
10,2022-09-28 19:36:37,83593.75,4703.703703703704,68243.24324324324,60000.0,40277.77777777778,36666.66666666667,33680.555555555555,21590.909090909085,17325.58139534884,12678.571428571431,0.5742787878787878,0.5694705243913174,0.5752181818181819,0.5737515151515151,0.5728121212121212,0.5699939393939394,0.5690053693121832,0.5718727272727272,0.5671757575757576,0.5690545454545455
11,2022-09-28 19:36:51,91379.3103448276,4840.0,70000.0,52999.99999999999,42013.88888888888,38782.05128205128,35472.972972972966,23333.333333333336,17682.926829268294,13103.44827586207,0.5705555555555555,0.5733313140253743,0.5748611111111112,0.5726555555555556,0.5709333333333334,0.5700722222222222,0.5691660329806124,0.5692111111111111,0.56835,0.56835
12,2022-09-28 19:37:05,98958.33333333333,5937.5,70000.0,52999.99999999999,43560.606060606064,38815.789473684206,35576.92307692308,29910.714285714286,18138.297872340423,15723.684210526315,0.5666277777777777,0.5724646473587076,0.5717944444444444,0.5752388888888889,0.5709333333333334,0.56835,0.5674438107583901,0.5743777777777778,0.5674888888888889,0.5709333333333333
