,source,destination
0,shipping,rabbitmq
1,front-end,session-db
2,carts,carts-db
3,catalogue,catalogue-db
4,orders,orders-db
5,user,user-db
6,queue-master,rabbitmq
7,front-end,orders
8,orders,payment
9,orders,shipping
10,front-end,user
11,orders,user
12,front-end,carts
13,orders,carts
14,front-end,catalogue
15,catalogue-db,home-cluster-node1
16,front-end,home-cluster-node3
17,orders,home-cluster-node2
18,session-db,home-cluster-node2
19,user,home-cluster-node1
20,user-db,home-cluster-node2
21,carts,home-cluster-node2
22,carts-db,home-cluster-node1
23,orders-db,home-cluster-node1
24,rabbitmq,home-cluster-node1
25,payment,home-cluster-node2
26,shipping,home-cluster-node3
27,catalogue,home-cluster-node3
28,queue-master,home-cluster-node3
