,timestamp,gateway_chain-1,chain-1_chain-2,chain-2_chain-3,chain-3_chain-4,chain-4_chain-5,chain-1_chain-1-db,chain-2_chain-2-db,chain-3_chain-3-db,chain-4_chain-4-db,chain-5_chain-5-db
0,2022-09-28 16:34:44,38141.02564102564,27083.333333333336,18812.5,15073.529411764706,6875.0,0.5644,0.5859333333333333,0.5644,0.5337999999999999,0.544
1,2022-09-28 16:34:58,39772.727272727265,35135.13513513514,20403.225806451617,16923.076923076926,6896.551724137931,0.5490999999999999,0.5490999999999999,0.5490999999999999,0.544,0.5489338396961823
2,2022-09-28 16:35:12,38081.39534883721,34868.42105263157,18478.26086956522,16833.333333333332,7236.8421052631575,0.5576,0.5647777777777777,0.5609999999999999,0.5576,0.5610062566822523
3,2022-09-28 16:35:26,37239.583333333336,32638.888888888887,18812.5,16802.32558139535,6785.714285714285,0.56185,0.56185,0.55675,0.55165,0.5567546925116893
4,2022-09-28 16:35:40,35365.85365853659,34121.62162162162,18011.363636363636,16306.818181818184,6328.125,0.55828,0.5625866666666667,0.56236,0.5542,0.5562437540093514
5,2022-09-28 16:35:54,35416.66666666667,25000.0,17670.454545454548,15472.972972972972,6858.974358974359,0.5576,0.5576,0.5593,0.5593,0.5593031283411262
6,2022-09-28 16:36:08,38636.36363636363,35000.0,18812.5,17500.0,6944.444444444444,0.5585714285714286,0.5616476190476191,0.5585714285714286,0.5556571428571428,0.5585741100066797
7,2022-09-28 16:36:22,37784.090909090904,32661.290322580648,19615.384615384617,16562.5,7039.473684210526,0.56185,0.56185,0.5644,0.55675,0.5605773462558447
8,2022-09-28 16:36:36,38719.51219512195,32812.5,18500.0,16937.5,6166.666666666667,0.5598666666666667,0.5622592592592592,0.561,0.5587333333333333,0.5621354188940841
9,2022-09-28 16:36:50,37202.38095238095,30416.666666666668,19166.666666666664,16585.365853658535,6666.666666666666,0.5603087142571486,0.56032,0.5613400000000001,0.5542,0.5633818770046758
10,2022-09-28 16:37:04,76562.5,68382.35294117646,19166.666666666664,16750.0,6785.714285714285,0.556053622101054,0.5587333333333334,0.5569818181818182,0.5560301798554614,0.5588380700042507
11,2022-09-28 16:37:18,85000.0,76063.82978723405,18963.41463414634,15270.27027027027,6785.714285714285,0.5575991535926328,0.5606777777777777,0.55845,0.5575553297350125,0.5610015641705631
12,2022-09-28 16:37:32,81756.75675675676,76086.95652173912,19729.72972972973,15270.27027027027,6838.235294117647,0.5567491535926328,0.5579388888888889,0.5593,0.5584264951677701,0.5610015641705631
