,timestamp,front-end_carts,orders_carts,front-end_catalogue,front-end_orders,orders_payment,orders_shipping,front-end_user,orders_user,carts_carts-db,catalogue_catalogue-db,fanout-1_fanout-1-db,fanout-2_fanout-2-db,fanout-3_fanout-3-db,fanout-4_fanout-4-db,fanout-5_fanout-5-db,orders_orders-db,user_user-db
0,2022-09-28 10:07:24,33780.48780487805,21367.1875,15689.655172413793,67857.14285714284,1943.820224719101,3231.578947368421,23981.132075471698,18808.962264150945,59.84526666666667,59.55213333333333,0.08613333333333334,0.06459999999999999,0.06459999999999999,0.06459999999999999,0.06459999999999999,0.47720303959472066,70.81219999999999
1,2022-09-28 10:07:38,32097.98994974875,20161.29032258064,16461.53846153846,68750.0,2239.1304347826085,3651.6853932584268,24340.000000000004,20458.333333333336,60.12663333333333,58.9456,0.0646,0.06459999999999999,0.06459999999999999,0.06459569390747899,0.06459999999999999,0.45985343633625775,73.7479
2,2022-09-28 10:07:52,33757.485029940115,22711.86440677966,16911.764705882353,75588.23529411765,2368.421052631579,3461.5384615384614,24453.441295546556,18571.428571428572,65.08542222222222,56.59104444444444,0.07177777777777779,0.06459999999999999,0.06459999999999999,0.06460000076562965,0.06459999999999999,0.48702727144250435,74.72646666666667
3,2022-09-28 10:08:06,31944.44444444445,19776.785714285714,14804.687499999998,70129.87012987013,1977.7777777777778,3288.135593220339,25793.65079365079,20355.113636363632,64.09369209988448,61.01188333333333,0.0646,0.06459999999999999,0.06459999999999999,0.06460000057422223,0.06459999999999999,0.5109037869152115,74.00545
4,2022-09-28 10:08:20,32898.00995024876,21550.000000000004,17382.812499999996,69252.87356321838,1800.0000000000002,3361.9047619047624,25000.0,18875.0,63.62716760362057,60.88396,0.06890666666666667,0.06459139240506329,0.06459483406637344,0.06460000045937778,0.06459999999999999,0.5201763628655026,74.01686666666667
5,2022-09-28 10:08:34,33682.63473053892,20781.25,17017.85714285714,74642.85714285716,1919.5402298850574,3410.2564102564106,23874.999999999996,18853.092783505155,63.353328558572706,61.068755555555555,0.0646,0.06460000957037461,0.06460000344533388,0.06460000038281481,0.06459999999999999,0.5292167106618196,74.01356666666668
6,2022-09-28 10:08:48,31835.937499999996,18225.806451612905,16104.651162790695,70380.4347826087,2023.8095238095236,3442.4778761061943,22307.692307692305,18353.96039603961,63.050910193062315,61.20075238095238,0.06767619047619047,0.06460000820317824,0.06460000295314332,0.06460000032812699,0.06459999999999999,0.5320966865637113,73.89408571428571
7,2022-09-28 10:09:02,28502.747252747253,17389.70588235294,15413.533834586467,70380.4347826087,2010.5263157894733,3342.857142857143,20114.43661971831,17536.23188405797,61.36580475226286,61.596475,0.06998333333333334,0.06460000717778096,0.06460000258400041,0.0646000002871111,0.06459999999999999,0.5399012674099141,73.86139166666666
8,2022-09-28 10:09:16,32821.229050279326,18892.857142857145,17393.617021276594,65625.0,2191.489361702128,3352.9411764705883,20114.43661971831,17536.23188405797,61.4183523723818,60.59568148148148,0.06699259259259259,0.06460000638024974,0.06460000229688925,0.06460000025520987,0.06459999999999999,0.5302752006606644,74.077938953563
9,2022-09-28 10:09:30,33960.84337349398,20119.047619047622,14657.258064516129,69578.31325301205,2191.489361702128,3416.6666666666665,28503.787878787884,18986.175115207374,61.46039046847695,60.573699999999995,0.06890666666666667,0.06460000574222477,0.06460000206720032,0.06460000022968888,0.06459999999999999,0.5182955408798933,74.4201117159821
10,2022-09-28 10:09:44,35551.94805194805,20086.20689655172,18152.17391304348,68814.43298969071,2235.955056179775,3203.7037037037035,27772.373540856035,18946.188340807177,62.09864588043359,60.77816363636364,0.06655757575757576,0.06460000522020433,0.06460000187927302,0.06460000020880807,0.06459999999999999,0.5218451261451005,73.89242277210495
11,2022-09-28 10:09:58,31287.87878787878,16200.0,11113.861386138613,65740.74074074074,2011.4942528735633,3235.294117647059,27717.391304347828,19512.195121951216,61.953549196112256,60.462722222222226,0.0681888888888889,0.0646000047851873,0.06460000172266693,0.0646000001914074,0.06459999999999999,0.5222358100774532,73.96359309665176
12,2022-09-28 10:10:12,29496.9512195122,20138.888888888894,15349.264705882355,57936.50793650794,2085.1063829787236,3235.294117647059,22108.7786259542,16986.301369863013,61.27637385347398,60.24246111111111,0.0646,0.0646000047851873,0.06460000172266693,0.0646000001914074,0.06459999999999999,0.5263466678890042,74.23540976331843
