,timestamp,front-end_carts,orders_carts,front-end_catalogue,front-end_orders,orders_payment,orders_shipping,front-end_user,orders_user,carts_carts-db,catalogue_catalogue-db,orders_orders-db,user_user-db
0,2022-09-25 08:01:32,29421.397379912665,17310.126582278484,11860.902255639097,59065.934065934074,1891.304347826087,3072.727272727273,22577.903682719552,16663.346613545815,60.71025982678214,62.028800000000004,0.6172666666666666,83.10419999999999
1,2022-09-25 08:01:46,30603.448275862072,15294.117647058822,11860.902255639097,57272.72727272727,1969.6969696969693,3072.727272727273,21636.212624584718,17081.545064377682,58.4191058973804,60.60506666666667,0.5699,81.53393333333332
2,2022-09-25 08:02:00,29235.537190082647,17821.428571428572,13576.158940397352,63461.53846153846,2113.2075471698113,3133.333333333334,21653.846153846152,16875.0,60.55360393158693,64.35313333333333,0.5541111111111111,81.99008888888888
3,2022-09-25 08:02:14,29988.26291079812,20071.428571428572,15800.781249999998,63541.66666666666,1927.8350515463915,3169.811320754717,21747.787610619467,18512.5,63.34411961535687,66.70298333333334,0.5589,81.79333333333334
4,2022-09-25 08:02:28,30393.401015228428,17700.000000000004,14000.000000000002,67151.16279069766,1927.8350515463915,3140.3508771929824,23368.42105263158,18883.49514563107,61.987011006159946,65.98240000000001,0.5508266666666667,81.67528
5,2022-09-25 08:02:42,28817.73399014779,18214.285714285714,17332.089552238805,67378.0487804878,2179.9999999999995,3175.4385964912276,22132.352941176472,17016.129032258064,62.43609905219656,64.6490888888889,0.5452333333333333,81.53267777777778
6,2022-09-25 08:02:56,29803.240740740745,17941.176470588234,13388.55421686747,62640.449438202246,2148.5148514851485,3419.354838709677,24338.235294117647,18419.540229885057,61.83961823521609,64.18284761904762,0.5442761904761905,81.11469523809524
7,2022-09-25 08:03:10,29803.240740740745,17941.176470588234,13374.999999999998,57831.32530120482,2362.8318584070794,3215.0537634408606,22666.083916083913,16574.468085106382,61.48865762248075,65.40151666666667,0.5488999999999999,81.2983
8,2022-09-25 08:03:24,29372.197309417035,17734.375,13292.682926829268,62215.90909090909,2061.2244897959185,3122.8070175438597,23190.55944055944,15846.938775510203,61.89415492368659,66.46645185185186,0.5459703703703703,80.87370370370371
9,2022-09-25 08:03:38,29147.465437788018,15462.962962962964,13879.310344827585,68112.24489795919,2104.761904761905,3241.935483870967,23190.55944055944,15846.938775510203,62.3206660979846,66.34314,0.5471,80.94932
10,2022-09-25 08:03:52,30113.636363636368,17302.63157894737,14563.253012048193,70588.23529411765,2315.3153153153153,3152.671755725191,23673.4693877551,18101.26582278481,62.669629786046606,67.3186787878788,0.5532303030303031,81.24140606060607
11,2022-09-25 08:04:06,29934.210526315786,16551.724137931033,15764.925373134329,66071.42857142858,2499.9999999999995,3357.7235772357726,23432.055749128922,18373.493975903613,62.457979974275055,67.50886666666666,0.5579,81.32636111111111
12,2022-09-25 08:04:20,31578.947368421046,17750.0,14935.48387096774,64285.714285714275,2057.6923076923076,3186.0465116279074,23632.075471698117,16877.35849056604,63.097050079845296,68.13987777777778,0.5576722222222222,81.57620555555556
