,timestamp,gateway_chain-1,chain-1_chain-2,chain-2_chain-3,chain-3_chain-4,chain-4_chain-5,chain-1_chain-1-db,chain-2_chain-2-db,chain-3_chain-3-db,chain-4_chain-4-db,chain-5_chain-5-db
0,2022-09-28 16:59:55,38068.18181818182,34459.45945945946,18265.30612244898,17500.0,7159.090909090908,0.5542,0.5644,0.544,0.5734666666666667,0.6154
1,2022-09-28 17:00:09,37771.739130434784,34294.8717948718,18035.714285714286,16768.29268292683,6515.151515151516,0.5542,0.5590784972022382,0.5593,0.5746,0.5899
2,2022-09-28 17:00:23,36250.0,25520.833333333332,18297.872340425536,15472.972972972972,6250.0,0.561,0.5644056808143024,0.5642979033404406,0.5708222222222222,0.5814
3,2022-09-28 17:00:37,35472.972972972966,26000.0,18750.0,15073.529411764706,5300.0,0.5644,0.5669542606107267,0.5695014424466325,0.5695,0.57205
4,2022-09-28 17:00:51,36805.555555555555,29500.0,18414.634146341465,14354.83870967742,6439.393939393939,0.5644,0.5664434084885814,0.558281153957306,0.5662133333333333,0.56644
5,2022-09-28 17:01:05,39322.916666666664,34523.80952380953,19464.285714285714,17031.25,6893.939393939394,0.5729000000000001,0.5746028404071511,0.5712009616310884,0.5712,0.5678
6,2022-09-28 17:01:19,36309.52380952381,31451.612903225807,19464.285714285714,15270.27027027027,6959.45945945946,0.565857142857143,0.5804310060632725,0.5673151099695043,0.5627809523809524,0.5702285714285714
7,2022-09-28 17:01:33,36428.57142857143,31018.51851851852,18780.48780487805,16136.363636363636,6959.45945945946,0.56185,0.5733271303053634,0.5631257212233163,0.5564666666666667,0.568225
8,2022-09-28 17:01:47,35810.81081081081,29166.666666666668,18289.473684210527,16136.363636363636,6000.0,0.5621333333333333,0.5689352269381007,0.5598673077540588,0.5574740740740741,0.5632472805361176
9,2022-09-28 17:02:01,35810.81081081081,29166.666666666668,18281.25,15073.529411764706,6554.054054054053,0.56236,0.5684817042442907,0.559300576978653,0.5580533333333333,0.5674627325425259
10,2022-09-28 17:02:15,40243.902439024394,31696.42857142857,23660.714285714286,17916.666666666668,7750.0,0.5625454545454546,0.5681106402220825,0.5625459790715027,0.5605878787878787,0.564402484129569
11,2022-09-28 17:02:29,175000.0,175000.0,175000.0,175000.0,175000.0,0.56355,0.5686514202035756,0.5610004808155441,0.5574111111111111,0.5627022771187715
12,2022-09-28 17:02:43,175000.0,175000.0,175000.0,175000.0,175000.0,0.5618500000000001,0.5661014202035756,0.5601504808155442,0.5559,0.5584522771187715
