,source,destination
0,carts,carts-db
1,catalogue,catalogue-db
2,orders,orders-db
3,user,user-db
4,queue-master,rabbitmq
5,shipping,rabbitmq
6,front-end,session-db
7,orders,shipping
8,front-end,user
9,orders,user
10,front-end,carts
11,orders,carts
12,front-end,catalogue
13,front-end,orders
14,orders,payment
15,catalogue,node2
16,orders,node3
17,session-db,node1
18,shipping,node3
19,catalogue-db,node2
20,queue-master,node3
21,rabbitmq,node2
22,user-db,node2
23,payment,node1
24,user,node1
25,carts,node3
26,carts-db,node1
27,front-end,node1
28,orders-db,node2
