,timestamp,gateway_fanout-1,gateway_fanout-2,gateway_fanout-3,gateway_fanout-4,gateway_fanout-5,fanout-1_fanout-1-db,fanout-2_fanout-2-db,fanout-3_fanout-3-db,fanout-4_fanout-4-db,fanout-5_fanout-5-db
0,2022-09-28 22:57:44,3186.046511627907,3428.571428571429,3125.0,3272.727272727273,3325.581395348837,0.5471333333333334,0.5779333333333333,0.5256000000000001,0.5779333333333333,0.5358666666666667
1,2022-09-28 22:57:58,3227.2727272727275,3611.1111111111113,3232.5581395348836,3285.7142857142862,3227.2727272727275,0.5625333333333333,0.5779333333333333,0.5256000000000001,0.5522666666666667,0.5574
2,2022-09-28 22:58:12,3292.682926829268,3340.425531914894,3038.461538461538,3487.8048780487807,3078.4313725490197,0.5608222222222222,0.5642444444444444,0.5433777777777778,0.5714222222222222,0.5645777777777777
3,2022-09-28 22:58:26,3136.3636363636365,3352.9411764705883,3100.0,3263.157894736842,3153.846153846154,0.5728,0.5650999999999999,0.5363666666666667,0.5522666666666667,0.5574
4,2022-09-28 22:58:40,3450.0,3272.727272727273,3272.727272727273,3173.9130434782605,3173.9130434782605,0.5574,0.5615066666666666,0.54488,0.5596533333333333,0.5555466666666666
5,2022-09-28 22:58:54,3450.0,3181.818181818182,3133.3333333333335,3222.222222222222,3238.095238095238,0.5608222222222222,0.5642444444444444,0.545088888888889,0.5556888888888889,0.5591111111111111
6,2022-09-28 22:59:08,3173.9130434782605,3380.952380952381,3130.4347826086955,3222.222222222222,3083.3333333333335,0.5588666666666666,0.5632666666666667,0.5528571428571428,0.5528571428571428,0.5619428571428572
7,2022-09-28 22:59:22,3631.5789473684213,3318.1818181818185,3318.1818181818185,3380.952380952381,3318.1818181818185,0.56125,0.5638166666666666,0.5545833333333333,0.5586833333333334,0.5599666666666667
8,2022-09-28 22:59:36,3136.3636363636365,3300.0000000000005,3350.0,3279.0697674418607,3292.6829268292686,0.5642444444444444,0.5653851851851851,0.5550074074074075,0.5607111111111112,0.5632148148148148
9,2022-09-28 22:59:50,3318.1818181818185,3318.1818181818185,3272.727272727273,3279.0697674418607,3272.7272727272725,0.5615066666666666,0.5645866666666667,0.5530933333333333,0.5625333333333333,0.5635600000000001
10,2022-09-28 23:00:04,3390.243902439024,3540.5405405405404,36436.17021276596,3421.052631578948,3266.6666666666665,0.5639333333333334,0.5648666666666666,0.5591757575757575,0.5601090909090909,0.5621575757575757
11,2022-09-28 23:00:18,3238.095238095238,3292.682926829268,37500.0,3439.0243902439024,3097.560975609756,0.5633765055244527,0.5651,0.5572333333333334,0.5616777777777778,0.5633888888888888
12,2022-09-28 23:00:32,3378.378378378378,3350.0,37500.0,3139.5348837209303,3097.560975609756,0.5633886672861077,0.5616777777777778,0.5582555555555556,0.5581722222222223,0.5652666666666667
