,timestamp,gateway_fanout-1,gateway_fanout-10,gateway_fanout-2,gateway_fanout-3,gateway_fanout-4,gateway_fanout-5,gateway_fanout-6,gateway_fanout-7,gateway_fanout-8,gateway_fanout-9,fanout-1_fanout-1-db,fanout-10_fanout-10-db,fanout-2_fanout-2-db,fanout-3_fanout-3-db,fanout-4_fanout-4-db,fanout-5_fanout-5-db,fanout-6_fanout-6-db,fanout-7_fanout-7-db,fanout-8_fanout-8-db,fanout-9_fanout-9-db
0,2022-09-29 00:53:48,6730.76923076923,6333.333333333333,6379.310344827586,6805.555555555556,6617.647058823529,6206.896551724138,5740.740740740741,5217.391304347826,5208.333333333333,6774.193548387096,0.5606,0.5638,0.5709333333333333,0.5606,0.5606,0.5812666666666666,0.5606,0.5916,0.5812666666666666,0.5709333333333333
1,2022-09-29 00:54:02,6339.285714285715,4461.538461538462,5900.0,6640.625,4913.043478260869,6120.689655172414,5900.0,4103.44827586207,4214.285714285715,5340.909090909091,0.5502666666666667,0.5586,0.5554333333333332,0.5606,0.5606,0.5554333333333333,0.5502666666666667,0.5554333333333333,0.5606,0.5606
2,2022-09-29 00:54:16,6339.285714285715,4461.538461538462,5900.0,6640.625,4913.043478260869,6120.689655172414,5900.0,4103.44827586207,4214.285714285715,5340.909090909091,0.5468222222222222,0.5568666666666666,0.553649990743826,0.5502666666666667,0.5537111111111112,0.5606,0.5537111111111112,0.5433777777777777,0.5571555555555555,0.5606
3,2022-09-29 00:54:30,6607.142857142857,4840.0,5416.666666666667,6153.846153846154,5600.0,5400.0,6166.666666666667,5227.272727272727,4199.999999999999,5217.391304347826,0.5502666666666667,0.5534,0.5527583194490725,0.5580166666666666,0.5580166666666666,0.5554333333333333,0.5476833333333333,0.5502666666666667,0.5554333333333333,0.5606
4,2022-09-29 00:54:44,6136.363636363636,5454.545454545454,5961.538461538462,5238.0952380952385,6000.0,4826.086956521739,6250.0,5476.190476190476,4259.259259259259,5500.0,0.5461333333333334,0.55132,0.5502077223681658,0.5482,0.5502666666666667,0.5523333333333333,0.5482,0.5481999999999999,0.5481999999999999,0.5585186615117984
5,2022-09-29 00:54:58,6532.258064516129,5096.153846153846,6370.967741935484,5887.096774193548,6048.387096774194,6250.0,6048.387096774194,4785.714285714285,4925.925925925925,6120.689655172414,0.5468222222222222,0.5499333333333333,0.5484953241956937,0.5554333333333333,0.5554333333333333,0.5554333333333333,0.5519888888888889,0.5502666666666666,0.5519888888888889,0.5571555588163951
6,2022-09-29 00:55:12,6916.666666666666,6574.074074074075,6195.652173913043,6370.967741935484,6057.692307692308,6250.0,6203.703703703704,4600.0,4600.0,6875.0,0.5502666666666667,0.5534,0.5517170697165806,0.5532190476190476,0.5532190476190476,0.557647619047619,0.5532190476190476,0.5517428571428571,0.5502666666666667,0.5561714313664339
7,2022-09-29 00:55:26,6742.424242424242,5833.333333333333,7013.88888888889,6465.517241379311,6693.548387096774,6083.333333333334,6500.0,4062.5,4629.62962962963,5520.833333333334,0.55285,0.556,0.5540715565882839,0.5554333333333333,0.5554333333333333,0.5567249999999999,0.55285,0.5502666666666667,0.5554333333333333,0.555433335778963
8,2022-09-29 00:55:40,6944.444444444444,4500.0,7000.0,6470.588235294118,6363.636363636363,5689.6551724137935,5100.0,4161.290322580644,4500.0,6083.333333333334,0.5514148148148148,0.5545555555555556,0.553689578727055,0.5571555555555556,0.5571555555555555,0.5571555555555556,0.5594518518518519,0.5525629629629629,0.5560074074074074,0.5583037058775967
9,2022-09-29 00:55:54,5982.142857142857,5000.0,6160.714285714285,6287.878787878788,6120.689655172414,4923.076923076924,5227.272727272728,4714.285714285715,3888.888888888889,6527.777777777777,0.5574999999999999,0.56068,0.5585139541876829,0.5595666666666667,0.5606,0.5606,0.5595666666666667,0.5544,0.5606,0.561633335289837
10,2022-09-29 00:56:08,5892.857142857143,5520.833333333334,6296.2962962962965,6206.896551724138,5961.538461538462,5000.0,5961.538461538462,4555.555555555556,4200.0,34926.470588235294,0.5577818181818182,0.5609636363636364,0.5587035947160753,0.5615393939393939,0.5634181818181818,0.5624787878787878,0.5615393939393939,0.5587212121212121,0.5615393939393939,0.5634181835968216
11,2022-09-29 00:56:22,6750.0,5399.999999999999,6500.0,6328.125,5648.148148148148,5625.0,5104.166666666666,4500.0,4379.310344827586,37500.0,0.5597388888888889,0.5629333333333334,0.5605838507119579,0.5597388888888889,0.5606,0.5614611111111111,0.5623222222222223,0.5588777777777777,0.5623222222222222,0.5631833349637531
12,2022-09-29 00:56:36,6571.428571428572,6071.428571428572,6406.25,6290.322580645162,6562.5,6176.470588235295,5555.555555555556,3971.4285714285716,3971.4285714285716,37500.0,0.5606,0.5638000000000001,0.561444961823069,0.5640444444444445,0.5649055555555555,0.5606,0.5649055555555555,0.5580166666666667,0.5631833333333333,0.562322223852642
